repo,path,bucket,bytes,lines,tokens_4,tokens_35
pi,.gitattributes,binary-other,382,0,0,0
pi,.github/APPROVED_CONTRIBUTORS,config,2638,0,0,0
pi,.github/ISSUE_TEMPLATE/bug.yml,config,1409,45,352,403
pi,.github/ISSUE_TEMPLATE/config.yml,config,174,5,44,50
pi,.github/ISSUE_TEMPLATE/contribution.yml,config,1209,36,302,345
pi,.github/ISSUE_TEMPLATE/package-report.yml,config,1522,49,380,435
pi,.github/workflows/approve-contributor.yml,config,7293,179,1823,2084
pi,.github/workflows/build-binaries.yml,config,4109,136,1027,1174
pi,.github/workflows/ci.yml,config,870,42,218,249
pi,.github/workflows/issue-gate.yml,config,4897,127,1224,1399
pi,.github/workflows/issue-triage-labels.yml,config,4799,129,1200,1371
pi,.github/workflows/npm-audit.yml,config,660,31,165,189
pi,.github/workflows/openclaw-gate.yml,config,4504,122,1126,1287
pi,.github/workflows/pr-gate.yml,config,4816,126,1204,1376
pi,.github/workflows/remove-inprogress-on-close.yml,config,834,31,208,238
pi,.gitignore,config,485,41,121,139
pi,.husky/pre-commit,config,1023,0,0,0
pi,.npmrc,config,34,2,8,10
pi,.pi/extensions/prompt-url-widget.ts,source,8424,270,2106,2407
pi,.pi/extensions/redraws.ts,source,609,24,152,174
pi,.pi/extensions/tps.ts,source,1556,47,389,445
pi,.pi/git/.gitignore,config,14,2,4,4
pi,.pi/npm/.gitignore,config,14,2,4,4
pi,.pi/prompts/cl.md,config,2163,54,541,618
pi,.pi/prompts/is.md,config,1300,28,325,371
pi,.pi/prompts/pr.md,config,2189,37,547,625
pi,.pi/prompts/sa.md,config,7570,163,1892,2163
pi,.pi/prompts/wr.md,config,1977,35,494,565
pi,.pi/skills/add-llm-provider.md,config,3097,57,774,885
pi,AGENTS.md,docs,10731,162,2683,3066
pi,CONTRIBUTING.md,docs,4823,102,1206,1378
pi,LICENSE,binary-other,1069,0,0,0
pi,README.md,docs,5678,99,1419,1622
pi,SECURITY.md,docs,4227,87,1057,1208
pi,biome.json,config,788,38,197,225
pi,package-lock.json,config,193525,6154,48381,55293
pi,package.json,config,2833,61,708,809
pi,packages/agent/CHANGELOG.md,docs,15664,522,3913,4472
pi,packages/agent/README.md,docs,16628,506,4127,4717
pi,packages/agent/docs/agent-harness.md,docs,23392,486,5848,6683
pi,packages/agent/docs/durable-harness.md,docs,8090,212,2022,2311
pi,packages/agent/docs/hooks.md,docs,10675,445,2668,3049
pi,packages/agent/docs/observability.md,docs,8624,376,2156,2464
pi,packages/agent/package.json,config,1463,64,366,418
pi,packages/agent/src/agent-loop.ts,source,20044,748,5010,5726
pi,packages/agent/src/agent.ts,source,17139,557,4285,4897
pi,packages/agent/src/base.ts,source,1227,39,307,351
pi,packages/agent/src/harness/agent-harness.ts,source,37073,1064,9268,10592
pi,packages/agent/src/harness/compaction/branch-summarization.ts,source,8547,262,2137,2442
pi,packages/agent/src/harness/compaction/compaction.ts,source,23488,762,5872,6711
pi,packages/agent/src/harness/compaction/utils.ts,source,4641,144,1160,1326
pi,packages/agent/src/harness/env/nodejs.ts,source,16449,550,4112,4700
pi,packages/agent/src/harness/messages.ts,source,4014,164,1004,1147
pi,packages/agent/src/harness/prompt-templates.ts,source,9319,267,2330,2663
pi,packages/agent/src/harness/session/jsonl-repo.ts,source,5753,177,1438,1644
pi,packages/agent/src/harness/session/jsonl-storage.ts,source,9907,293,2477,2831
pi,packages/agent/src/harness/session/memory-repo.ts,source,1862,50,466,532
pi,packages/agent/src/harness/session/memory-storage.ts,source,4044,131,1011,1155
pi,packages/agent/src/harness/session/repo-utils.ts,source,1605,51,401,459
pi,packages/agent/src/harness/session/session.ts,source,8064,266,2016,2304
pi,packages/agent/src/harness/session/uuid.ts,source,1666,54,416,476
pi,packages/agent/src/harness/skills.ts,source,13100,375,3275,3743
pi,packages/agent/src/harness/system-prompt.ts,source,1179,34,295,337
pi,packages/agent/src/harness/types.ts,source,26297,833,6574,7513
pi,packages/agent/src/harness/utils/shell-output.ts,source,4436,143,1109,1267
pi,packages/agent/src/harness/utils/truncate.ts,source,9589,344,2396,2739
pi,packages/agent/src/index.ts,source,209,5,52,60
pi,packages/agent/src/node.ts,source,88,2,22,25
pi,packages/agent/src/proxy.ts,source,10382,367,2596,2966
pi,packages/agent/src/types.ts,source,16446,423,4112,4699
pi,packages/agent/test/agent-loop.test.ts,test,39724,1351,9931,11350
pi,packages/agent/test/agent.test.ts,test,19511,658,4878,5575
pi,packages/agent/test/e2e.test.ts,test,12530,404,3132,3580
pi,packages/agent/test/harness/agent-harness-stream.test.ts,test,6865,206,1716,1961
pi,packages/agent/test/harness/agent-harness.test.ts,test,21602,594,5400,6172
pi,packages/agent/test/harness/compaction.test.ts,test,24010,674,6002,6860
pi,packages/agent/test/harness/nodejs-env.test.ts,test,12770,321,3192,3649
pi,packages/agent/test/harness/prompt-templates.test.ts,test,3391,90,848,969
pi,packages/agent/test/harness/repo.test.ts,test,3937,68,984,1125
pi,packages/agent/test/harness/resource-formatting.test.ts,test,997,24,249,285
pi,packages/agent/test/harness/session-test-utils.ts,test,1338,55,334,382
pi,packages/agent/test/harness/session-uuid.test.ts,test,1686,50,422,482
pi,packages/agent/test/harness/session.test.ts,test,7019,150,1755,2005
pi,packages/agent/test/harness/skills.test.ts,test,3775,116,944,1079
pi,packages/agent/test/harness/storage.test.ts,test,10584,299,2646,3024
pi,packages/agent/test/harness/system-prompt.test.ts,test,2080,66,520,594
pi,packages/agent/test/harness/truncate.test.ts,test,5465,169,1358,1552
pi,packages/agent/test/scratch/simple.ts,test,2054,59,514,587
pi,packages/agent/test/utils/calculate.ts,test,1049,32,262,300
pi,packages/agent/test/utils/get-current-time.ts,test,1497,46,374,428
pi,packages/agent/tsconfig.build.json,config,365,13,91,104
pi,packages/agent/vitest.config.ts,source,390,15,98,111
pi,packages/agent/vitest.harness.config.ts,source,641,24,160,183
pi,packages/ai/CHANGELOG.md,docs,107743,1485,26932,30780
pi,packages/ai/README.md,docs,57728,1439,14432,16494
pi,packages/ai/bedrock-provider.d.ts,source,44,1,11,13
pi,packages/ai/bedrock-provider.js,source,44,1,11,13
pi,packages/ai/package.json,config,3154,119,788,901
pi,packages/ai/scripts/generate-image-models.ts,source,4068,131,1017,1162
pi,packages/ai/scripts/generate-models.ts,source,70018,2166,17502,20003
pi,packages/ai/scripts/generate-test-image.ts,source,923,33,231,264
pi,packages/ai/src/api-registry.ts,source,2563,98,641,732
pi,packages/ai/src/base.ts,source,1766,45,442,505
pi,packages/ai/src/bedrock-provider.ts,source,197,8,49,56
pi,packages/ai/src/cli.ts,source,4394,147,1098,1255
pi,packages/ai/src/env-api-keys.ts,source,6906,177,1726,1973
pi,packages/ai/src/image-models.generated.ts,generated,14049,519,3512,4014
pi,packages/ai/src/image-models.ts,source,1667,42,417,476
pi,packages/ai/src/images-api-registry.ts,source,1729,57,432,494
pi,packages/ai/src/images.ts,source,676,19,169,193
pi,packages/ai/src/index.ts,source,202,6,50,58
pi,packages/ai/src/models.generated.ts,generated,456127,17213,114032,130322
pi,packages/ai/src/models.ts,source,3789,95,947,1083
pi,packages/ai/src/oauth.ts,source,40,1,10,11
pi,packages/ai/src/providers/amazon-bedrock.ts,source,37483,1070,9371,10709
pi,packages/ai/src/providers/anthropic.ts,source,39042,1251,9760,11155
pi,packages/ai/src/providers/azure-openai-responses.ts,source,9950,308,2488,2843
pi,packages/ai/src/providers/cloudflare.ts,source,1656,36,413,472
pi,packages/ai/src/providers/faux.ts,source,15332,499,3833,4381
pi,packages/ai/src/providers/github-copilot-headers.ts,source,1184,37,296,338
pi,packages/ai/src/providers/google-shared.ts,source,11883,350,2971,3395
pi,packages/ai/src/providers/google-vertex.ts,source,17514,591,4378,5004
pi,packages/ai/src/providers/google.ts,source,15088,513,3772,4311
pi,packages/ai/src/providers/images/openrouter.ts,source,5972,194,1493,1706
pi,packages/ai/src/providers/mistral.ts,source,21814,673,5454,6233
pi,packages/ai/src/providers/openai-codex-responses.ts,source,47708,1504,11927,13631
pi,packages/ai/src/providers/openai-completions.ts,source,44365,1262,11091,12676
pi,packages/ai/src/providers/openai-prompt-cache.ts,source,358,8,90,102
pi,packages/ai/src/providers/openai-responses-shared.ts,source,19430,557,4858,5551
pi,packages/ai/src/providers/openai-responses.ts,source,10334,318,2584,2953
pi,packages/ai/src/providers/register-builtins.ts,source,9767,282,2442,2791
pi,packages/ai/src/providers/simple-options.ts,source,1849,54,462,528
pi,packages/ai/src/providers/transform-messages.ts,source,6837,220,1709,1953
pi,packages/ai/src/session-resources.ts,source,671,24,168,192
pi,packages/ai/src/stream.ts,source,1955,70,489,559
pi,packages/ai/src/types.ts,source,24110,628,6028,6889
pi,packages/ai/src/utils/abort-signals.ts,source,1116,41,279,319
pi,packages/ai/src/utils/diagnostics.ts,source,1377,45,344,393
pi,packages/ai/src/utils/event-stream.ts,source,2431,88,608,695
pi,packages/ai/src/utils/hash.ts,source,540,13,135,154
pi,packages/ai/src/utils/headers.ts,source,213,7,53,61
pi,packages/ai/src/utils/json-parse.ts,source,2774,124,694,793
pi,packages/ai/src/utils/node-http-proxy.ts,source,2903,112,726,829
pi,packages/ai/src/utils/oauth/anthropic.ts,source,11739,403,2935,3354
pi,packages/ai/src/utils/oauth/device-code.ts,source,2781,83,695,795
pi,packages/ai/src/utils/oauth/github-copilot.ts,source,13610,430,3402,3889
pi,packages/ai/src/utils/oauth/index.ts,source,4554,160,1138,1301
pi,packages/ai/src/utils/oauth/oauth-page.ts,source,3115,109,779,890
pi,packages/ai/src/utils/oauth/openai-codex.ts,source,18184,607,4546,5195
pi,packages/ai/src/utils/oauth/pkce.ts,source,997,34,249,285
pi,packages/ai/src/utils/oauth/types.ts,source,2135,79,534,610
pi,packages/ai/src/utils/overflow.ts,source,8785,162,2196,2510
pi,packages/ai/src/utils/provider-env.ts,source,1718,52,430,491
pi,packages/ai/src/utils/sanitize-unicode.ts,source,1167,25,290,332
pi,packages/ai/src/utils/typebox-helpers.ts,source,789,24,197,225
pi,packages/ai/src/utils/validation.ts,source,8968,324,2242,2562
