case,format,visible_tokens,hidden_bytes,future_rent_tokens,expected_retry_turns,dollars,winner,quality_winner
package_metadata_12,pretty_json,1197,0,5985,0.006,0.00553,,
package_metadata_12,minified_json,819,0,3767,0.01,0.003827,,
package_metadata_12,jsonl_objects,819,0,3603,0.014,0.003874,,
package_metadata_12,tuple_rows,101,0,343,0.188,0.004918,,
package_metadata_12,columnar_interned,133,0,345,0.205,0.005422,,
package_metadata_12,path_delta_rows,204,0,489,0.177,0.005007,,
package_metadata_12,projection_hidden_raw,109,3275,228,0.038,0.001307,winner,quality_winner
git_status_80,pretty_json,2193,0,10965,0.006,0.010013,,
git_status_80,minified_json,1593,0,7327,0.01,0.007217,,
git_status_80,jsonl_objects,1592,0,7004,0.014,0.007213,,
git_status_80,tuple_rows,783,0,2662,0.032,0.003916,,
git_status_80,columnar_interned,907,0,2358,0.05,0.004628,,
git_status_80,path_delta_rows,1527,0,3664,0.065,0.00724,,
git_status_80,projection_hidden_raw,791,6369,1661,0.022,0.003399,winner,quality_winner
lsp_diagnostics_120,pretty_json,6863,0,34315,0.006,0.031027,,
lsp_diagnostics_120,minified_json,4433,0,20391,0.01,0.019656,,
lsp_diagnostics_120,jsonl_objects,4433,0,19505,0.014,0.019487,,
lsp_diagnostics_120,tuple_rows,1780,0,6052,0.032,0.007924,,
lsp_diagnostics_120,columnar_interned,665,0,1729,0.05,0.003714,winner,quality_winner
lsp_diagnostics_120,path_delta_rows,5265,0,12636,0.065,0.021146,,
lsp_diagnostics_120,projection_hidden_raw,1788,17731,3754,0.022,0.007018,,
test_failures_40,pretty_json,3676,0,18380,0.006,0.016686,,
test_failures_40,minified_json,2866,0,13183,0.01,0.012793,,
test_failures_40,jsonl_objects,2866,0,12610,0.014,0.012717,,
test_failures_40,tuple_rows,974,0,3311,0.172,0.008043,,
test_failures_40,columnar_interned,816,0,2121,0.19,0.007644,,
test_failures_40,path_delta_rows,1463,0,3511,0.165,0.009402,,
test_failures_40,projection_hidden_raw,982,11463,2062,0.022,0.004093,winner,quality_winner
repo_profile_500,pretty_json,14896,0,74480,0.046,0.068136,,
repo_profile_500,minified_json,10396,0,47821,0.05,0.046734,,
repo_profile_500,jsonl_objects,10395,0,45738,0.054,0.046202,,
repo_profile_500,tuple_rows,4211,0,14317,0.032,0.017696,,
repo_profile_500,columnar_interned,4432,0,11523,0.05,0.017953,,
repo_profile_500,path_delta_rows,2137,0,5128,0.065,0.009509,,
repo_profile_500,projection_hidden_raw,1682,41582,3532,0.022,0.006634,winner,quality_winner
provider_usage_30,pretty_json,1333,0,6665,0.006,0.006143,,
provider_usage_30,minified_json,860,0,3956,0.01,0.004007,,
provider_usage_30,jsonl_objects,860,0,3784,0.014,0.004051,,
provider_usage_30,tuple_rows,255,0,867,0.182,0.005393,,
provider_usage_30,columnar_interned,218,0,566,0.201,0.005648,,
provider_usage_30,path_delta_rows,709,0,1701,0.165,0.006597,,
provider_usage_30,projection_hidden_raw,262,3439,550,0.032,0.001719,winner,quality_winner
