session,strategy,turn,visible_tokens,cached_read_tokens,uncached_tokens,compaction_call,classifier_call,hidden_bytes,dollars
small_edit_8,raw_retained_transcript,1,320,0,320,0,0,0,0.00096
small_edit_8,raw_retained_transcript,2,1220,320,900,0,0,0,0.002796
small_edit_8,raw_retained_transcript,3,3820,1220,2600,0,0,0,0.008166
small_edit_8,raw_retained_transcript,4,4270,3820,450,0,0,0,0.002496
small_edit_8,raw_retained_transcript,5,4970,4270,700,0,0,0,0.003381
small_edit_8,raw_retained_transcript,6,6370,4970,1400,0,0,0,0.005691
small_edit_8,raw_retained_transcript,7,6590,6370,220,0,0,0,0.002571
small_edit_8,raw_retained_transcript,8,6940,6590,350,0,0,0,0.003027
small_edit_8,adaptive_raw_then_mrc,1,320,0,320,0,0,1280,0.00096
small_edit_8,adaptive_raw_then_mrc,2,1220,320,900,0,0,4880,0.002796
small_edit_8,adaptive_raw_then_mrc,3,3820,1220,2600,0,0,15280,0.008166
small_edit_8,adaptive_raw_then_mrc,4,4270,3820,450,0,0,17080,0.002496
small_edit_8,adaptive_raw_then_mrc,5,4970,4270,700,0,0,19880,0.003381
small_edit_8,adaptive_raw_then_mrc,6,6370,4970,1400,0,0,25480,0.005691
small_edit_8,adaptive_raw_then_mrc,7,6590,6370,220,0,0,26360,0.002571
small_edit_8,adaptive_raw_then_mrc,8,6940,6590,350,0,0,27760,0.003027
small_edit_8,rolling_model_summary,1,320,0,320,0,0,0,0.00096
small_edit_8,rolling_model_summary,2,1220,320,900,0,0,0,0.002796
small_edit_8,rolling_model_summary,3,3820,1220,2600,0,0,0,0.008166
small_edit_8,rolling_model_summary,4,4270,3820,450,0,0,0,0.002496
small_edit_8,rolling_model_summary,5,4970,4270,700,0,0,0,0.003381
small_edit_8,rolling_model_summary,6,1781,0,1781,1,0,0,0.005343
small_edit_8,rolling_model_summary,7,2001,1781,220,0,0,0,0.001194
small_edit_8,rolling_model_summary,8,2351,2001,350,0,0,0,0.00165
