session,strategy,turns,visible_cumulative_tokens,visible_peak_tokens,visible_end_tokens,cached_read_tokens,uncached_tokens,cache_read_share,hidden_bytes,compaction_calls,compaction_input_tokens,compaction_output_tokens,classifier_calls,classifier_input_tokens,classifier_output_tokens,critical_fact_recall,exact_recall_success,false_preference_risk,stale_visible_share,expected_retry_turns,dollars_before_retry,retry_dollars,dollars,winner,quality_winner
small_edit_8,raw_retained_transcript,8,34500,6940,6940,27560,6940,0.7988,0,0,0,0,0,0,0,0.99,0.97,0.02,0.04058,0.21,0.107088,0.002811,0.109899,,
small_edit_8,adaptive_raw_then_mrc,8,34500,6940,6940,27560,6940,0.7988,27760,0,0,0,0,0,0,0.99,0.97,0.012,0.00487,0.033,0.107088,0.000442,0.10753,,
small_edit_8,rolling_model_summary,8,20733,4970,2351,13412,7321,0.6469,0,1,6370,985,0,0,0,0.84,0.38,0.06,0.01215,0.134,0.116874,0.001958,0.118832,,
small_edit_8,vcc_source_view,8,11788,1680,1680,4545,7243,0.3856,27760,0,0,0,0,0,0,0.955,0.935,0.012,0.00475,0.037,0.101093,0.000468,0.10156,,
small_edit_8,pi_vcc_sections,8,8865,1245,1245,2665,6200,0.3006,27760,0,0,0,0,0,0,0.935,0.87,0.015,0.00474,0.043,0.097399,0.000524,0.097923,,
small_edit_8,pi_mrc_keep_ref_drop,8,6100,840,840,1312,4788,0.2151,27760,0,0,0,0,0,0,0.925,0.965,0.01,0.00344,0.031,0.092758,0.000359,0.093117,winner,
small_edit_8,hybrid_sections_prompt_classifier,8,9352,1297,1297,3218,6134,0.3441,27760,0,0,0,1,320,32,0.97,0.915,0.004,0.00299,0.023,0.097451,0.00028,0.097731,,quality_winner
broad_refactor_18,raw_retained_transcript,18,678730,65650,65650,613080,65650,0.9033,0,0,0,0,0,0,0,0.99,0.97,0.02,0.02505,0.337,0.556374,0.010417,0.566791,,
broad_refactor_18,adaptive_raw_then_mrc,18,74885,23620,2297,30836,44049,0.4118,262600,0,0,0,0,0,0,0.94,0.96,0.012,0.02724,0.434,0.316898,0.007641,0.324539,,
broad_refactor_18,rolling_model_summary,18,170354,18870,5534,103782,66572,0.6092,0,5,81088,13885,0,0,0,0.84,0.38,0.06,0.01796,0.995,0.577136,0.031903,0.609038,,
broad_refactor_18,vcc_source_view,18,65444,5118,5037,27022,38422,0.4129,262600,0,0,0,0,0,0,0.955,0.935,0.012,0.01039,0.248,0.298873,0.004118,0.30299,,
broad_refactor_18,pi_vcc_sections,18,46430,3590,3530,14907,31523,0.3211,262600,0,0,0,0,0,0,0.935,0.87,0.015,0.01098,0.339,0.274541,0.005171,0.279712,,
broad_refactor_18,pi_mrc_keep_ref_drop,18,30799,2386,2297,7058,23741,0.2292,262600,0,0,0,0,0,0,0.925,0.965,0.01,0.00828,0.246,0.24884,0.003401,0.252241,winner,
broad_refactor_18,hybrid_sections_prompt_classifier,18,45930,3498,3462,16868,29062,0.3673,262600,0,0,0,2,800,64,0.97,0.915,0.004,0.0074,0.196,0.267945,0.002918,0.270862,,quality_winner
debug_loop_22,raw_retained_transcript,22,1098670,84410,84410,1014260,84410,0.9232,0,0,0,0,0,0,0,0.9804,0.9617,0.02,0.02822,0.489,0.772008,0.01716,0.789168,,
debug_loop_22,adaptive_raw_then_mrc,22,83757,23960,2294,32603,51154,0.3893,337640,0,0,0,0,0,0,0.94,0.96,0.012,0.04441,0.769,0.377743,0.013204,0.390947,,
debug_loop_22,rolling_model_summary,22,211120,20100,15135,135400,75720,0.6413,0,5,90585,13110,0,0,0,0.84,0.38,0.06,0.02643,1.462,0.661061,0.043931,0.704992,,
debug_loop_22,vcc_source_view,22,84190,5130,5130,35337,48853,0.4197,337640,0,0,0,0,0,0,0.955,0.935,0.012,0.01473,0.376,0.37166,0.006352,0.378012,,
debug_loop_22,pi_vcc_sections,22,59225,3540,3530,19331,39894,0.3264,337640,0,0,0,0,0,0,0.935,0.87,0.015,0.0157,0.506,0.339981,0.00782,0.347801,,
debug_loop_22,pi_mrc_keep_ref_drop,22,39922,2409,2294,9304,30618,0.2331,337640,0,0,0,0,0,0,0.925,0.965,0.01,0.01165,0.357,0.309145,0.005017,0.314162,winner,
debug_loop_22,hybrid_sections_prompt_classifier,22,58345,3450,3434,21789,36556,0.3735,337640,0,0,0,2,760,64,0.97,0.915,0.004,0.01063,0.301,0.330895,0.004527,0.335422,,quality_winner
research_design_40,raw_retained_transcript,40,2569770,107760,107760,2462010,107760,0.9581,0,0,0,0,0,0,0,0.9293,0.9179,0.08,0.00362,1.015,1.451883,0.036842,1.488725,,
research_design_40,adaptive_raw_then_mrc,40,180281,20460,4102,83091,97190,0.4609,431040,0,0,0,0,0,0,0.94,0.96,0.048,0.00619,0.813,0.706497,0.01436,0.720857,,
research_design_40,rolling_model_summary,40,433982,21021,14602,303599,130383,0.6996,0,8,135961,29755,0,0,0,0.84,0.38,0.24,0.00386,3.24,1.190955,0.096467,1.287422,,
research_design_40,vcc_source_view,40,216190,8366,8366,93503,122687,0.4325,431040,0,0,0,0,0,0,0.955,0.935,0.048,0.00172,0.648,0.786112,0.012735,0.798847,,
research_design_40,pi_vcc_sections,40,159195,6145,6145,53553,105642,0.3364,431040,0,0,0,0,0,0,0.935,0.87,0.06,0.00175,0.959,0.722992,0.017334,0.740326,,
research_design_40,pi_mrc_keep_ref_drop,40,107116,4102,4102,25737,81379,0.2403,431040,0,0,0,0,0,0,0.925,0.965,0.04,0.0013,0.769,0.641858,0.01234,0.654198,winner,
research_design_40,hybrid_sections_prompt_classifier,40,156359,5954,5954,60145,96214,0.3847,431040,0,0,0,6,2260,192,0.97,0.915,0.016,0.00119,0.464,0.697253,0.008088,0.705341,,quality_winner
long_mixed_80,raw_retained_transcript,80,11680000,285950,285950,11394050,285950,0.9755,0,0,0,0,0,0,0,0.55,0.5,0.08,0.00684,12.12,5.056065,0.765994,5.822059,,
long_mixed_80,adaptive_raw_then_mrc,80,364369,16850,7484,105178,259191,0.2887,1143800,0,0,0,0,0,0,0.933,0.9547,0.048,0.02631,2.97,1.589126,0.058996,1.648123,,
long_mixed_80,rolling_model_summary,80,1023792,26331,19063,658269,365523,0.643,0,22,453902,153320,0,0,0,0.833,0.3747,0.24,0.01405,10.618,3.408027,0.45233,3.860358,,
long_mixed_80,vcc_source_view,80,682212,15824,15824,299148,383064,0.4385,1143800,0,0,0,0,0,0,0.948,0.9297,0.048,0.00468,1.956,2.018936,0.049363,2.068299,,
long_mixed_80,pi_vcc_sections,80,486030,11210,11210,165694,320336,0.3409,1143800,0,0,0,0,0,0,0.928,0.8647,0.06,0.00493,2.956,1.790716,0.066167,1.856883,,
long_mixed_80,pi_mrc_keep_ref_drop,80,325559,7484,7484,79210,246349,0.2433,1143800,0,0,0,0,0,0,0.918,0.9597,0.04,0.00368,2.0,1.54281,0.03857,1.58138,winner,
long_mixed_80,hybrid_sections_prompt_classifier,80,467446,10664,10664,182183,285263,0.3897,1143800,0,0,0,7,2400,224,0.963,0.9097,0.016,0.00342,1.666,1.691058,0.035216,1.726275,,quality_winner
