session,policy,classifier_tokens,user_confirmations,metadata_recall,false_durable_risk,missed_correction_risk,annoyance_risk,expected_retry_turns,dollars,winner,quality_winner
small_edit,none,0,0.0,0.43,0.3,0.0,0.0,0.066,0.001584,,
small_edit,regex_only,144,0.0,0.446,0.286,0.0,0.0,0.063,0.001547,,
small_edit,cheap_prompt_classifier,756,0.0,0.772,0.147,0.0,0.0,0.032,0.000965,,
small_edit,classifier_confirm_high_impact,828,0.18,0.812,0.024,0.0,0.004,0.006,0.000342,,
small_edit,always_ask_user,276,0.75,0.871,0.01,0.0,0.09,0.011,0.000337,winner,quality_winner
debug_with_correction,none,0,0.0,0.38,0.3,1.86,0.0,0.401,0.009619,,
debug_with_correction,regex_only,384,0.0,0.434,0.3,1.697,0.0,0.372,0.009019,,
debug_with_correction,cheap_prompt_classifier,2016,0.0,0.753,0.164,0.742,0.0,0.17,0.004577,,
debug_with_correction,classifier_confirm_high_impact,2208,0.9,0.791,0.03,0.626,0.018,0.121,0.003464,,
debug_with_correction,always_ask_user,736,3.75,0.849,0.017,0.452,0.45,0.13,0.003308,winner,quality_winner
long_research,none,0,0.0,0.34,1.2,7.26,0.0,1.571,0.037699,,
long_research,regex_only,1152,0.0,0.425,1.247,6.322,0.0,1.412,0.034202,,
long_research,cheap_prompt_classifier,6048,0.0,0.737,0.711,2.892,0.0,0.677,0.017766,,
long_research,classifier_confirm_high_impact,6624,3.24,0.775,0.142,2.476,0.065,0.483,0.013272,,quality_winner
long_research,always_ask_user,2208,13.5,0.832,0.088,1.852,1.62,0.515,0.012914,winner,
preference_heavy,none,0,0.0,0.36,1.8,3.2,0.0,0.972,0.023328,,
preference_heavy,regex_only,768,0.0,0.43,1.836,2.851,0.0,0.917,0.022214,,
preference_heavy,cheap_prompt_classifier,4032,0.0,0.745,1.026,1.276,0.0,0.455,0.011937,,
preference_heavy,classifier_confirm_high_impact,4416,2.34,0.783,0.197,1.085,0.047,0.243,0.006951,winner,quality_winner
preference_heavy,always_ask_user,1472,9.75,0.84,0.116,0.798,1.17,0.286,0.00724,,
scope_churn,none,0,0.0,0.32,0.6,8.84,0.0,1.723,0.041357,,
scope_churn,regex_only,864,0.0,0.421,0.635,7.53,0.0,1.495,0.036113,,
scope_churn,cheap_prompt_classifier,4536,0.0,0.729,0.369,3.519,0.0,0.715,0.018291,,
scope_churn,classifier_confirm_high_impact,4968,3.06,0.767,0.076,3.033,0.061,0.569,0.014904,,quality_winner
scope_churn,always_ask_user,1656,12.75,0.823,0.05,2.304,1.53,0.579,0.014303,winner,
