case,policy,request_tokens,expected_retry_turns,wrong_edit_risk,dollars,winner,quality_winner
fresh_unique,exact_old_string,2300,0.02,0.025,0.01218,,
fresh_unique,apply_patch_context,2440,0.02,0.018,0.011256,,
fresh_unique,visible_hashline,2300,0.02,0.01,0.0093,,
fresh_unique,hidden_handle_strict,2210,0.015,0.001,0.007182,winner,quality_winner
fresh_unique,hidden_handle_exact_relocate,2250,0.02,0.004,0.007998,,
fresh_unique,hidden_handle_neighbor_relocate,2280,0.02,0.009,0.009048,,
fresh_unique,hidden_handle_fuzzy_model,2240,0.02,0.05,0.0168,,
fresh_unique,lsp_semantic,2200,0.5,0.02,0.02244,,
fresh_duplicate_line,exact_old_string,2510,0.1,0.025,0.01473,,
fresh_duplicate_line,apply_patch_context,2650,0.1,0.0236,0.014881,,
fresh_duplicate_line,visible_hashline,2510,0.02,0.002,0.008394,,
fresh_duplicate_line,hidden_handle_strict,2420,0.015,0.001,0.007812,winner,quality_winner
fresh_duplicate_line,hidden_handle_exact_relocate,2460,0.02,0.0008,0.008014,,
fresh_duplicate_line,hidden_handle_neighbor_relocate,2490,0.02,0.0018,0.008296,,
fresh_duplicate_line,hidden_handle_fuzzy_model,2450,0.02,0.01,0.00975,,
fresh_duplicate_line,lsp_semantic,2410,0.5,0.02,0.02307,,
line_shift_same_digest,exact_old_string,3160,0.02,0.025,0.01476,,
line_shift_same_digest,apply_patch_context,3300,0.02,0.018,0.013836,,
line_shift_same_digest,visible_hashline,3160,0.02,0.01,0.01188,,
line_shift_same_digest,hidden_handle_strict,3070,0.015,0.001,0.009762,winner,quality_winner
line_shift_same_digest,hidden_handle_exact_relocate,3110,0.02,0.004,0.010578,,
line_shift_same_digest,hidden_handle_neighbor_relocate,3140,0.02,0.009,0.011628,,
line_shift_same_digest,hidden_handle_fuzzy_model,3100,0.02,0.05,0.01938,,
line_shift_same_digest,lsp_semantic,3060,0.5,0.02,0.02502,,
stale_moved_unique,exact_old_string,3400,0.08,0.028,0.017496,,
stale_moved_unique,apply_patch_context,3540,0.08,0.021,0.016572,,
stale_moved_unique,visible_hashline,3400,0.79,0.012,0.031464,,
stale_moved_unique,hidden_handle_strict,3310,1.0,0.0005,0.034026,,
stale_moved_unique,hidden_handle_exact_relocate,3350,0.08,0.007,0.013314,winner,quality_winner
stale_moved_unique,hidden_handle_neighbor_relocate,3380,0.08,0.012,0.014364,,
stale_moved_unique,hidden_handle_fuzzy_model,3340,0.08,0.053,0.022116,,
stale_moved_unique,lsp_semantic,3300,0.5,0.02,0.02574,,
stale_moved_duplicate,exact_old_string,3400,0.82,0.0382,0.037214,,
stale_moved_duplicate,apply_patch_context,3540,0.62,0.0365,0.032508,,
stale_moved_duplicate,visible_hashline,3400,0.79,0.0045,0.030024,,
stale_moved_duplicate,hidden_handle_strict,3310,1.0,0.0005,0.034026,,
stale_moved_duplicate,hidden_handle_exact_relocate,3350,0.57,0.003,0.024306,,
stale_moved_duplicate,hidden_handle_neighbor_relocate,3380,0.47,0.0043,0.022246,winner,quality_winner
stale_moved_duplicate,hidden_handle_fuzzy_model,3340,0.2,0.1125,0.03642,,
stale_moved_duplicate,lsp_semantic,3300,0.5,0.02,0.02574,,
stale_neighbor_unique,exact_old_string,3640,0.82,0.027,0.035784,,
stale_neighbor_unique,apply_patch_context,3780,0.14,0.03,0.02046,,
stale_neighbor_unique,visible_hashline,3640,0.79,0.012,0.032184,,
stale_neighbor_unique,hidden_handle_strict,3550,1.0,0.0005,0.034746,,
stale_neighbor_unique,hidden_handle_exact_relocate,3590,0.57,0.006,0.025602,,quality_winner
stale_neighbor_unique,hidden_handle_neighbor_relocate,3620,0.14,0.021,0.018252,winner,
stale_neighbor_unique,hidden_handle_fuzzy_model,3580,0.14,0.062,0.026004,,
stale_neighbor_unique,lsp_semantic,3540,0.5,0.02,0.02646,,
concurrent_nearby_edit,exact_old_string,3940,0.82,0.0145,0.034284,,
concurrent_nearby_edit,apply_patch_context,4080,0.14,0.021,0.019632,,
concurrent_nearby_edit,visible_hashline,3940,0.67,0.007,0.029244,,
concurrent_nearby_edit,hidden_handle_strict,3850,1.0,0.0005,0.035646,,
concurrent_nearby_edit,hidden_handle_exact_relocate,3890,0.57,0.004,0.026118,,quality_winner
concurrent_nearby_edit,hidden_handle_neighbor_relocate,3920,0.14,0.0165,0.018288,winner,
concurrent_nearby_edit,hidden_handle_fuzzy_model,3880,0.14,0.037,0.022104,,
concurrent_nearby_edit,lsp_semantic,3840,0.5,0.02,0.02736,,
semantic_rename_shifted,exact_old_string,6260,0.45,0.03,0.03534,,
semantic_rename_shifted,apply_patch_context,6400,0.45,0.03,0.03576,,
semantic_rename_shifted,visible_hashline,6260,0.45,0.03,0.03534,,
semantic_rename_shifted,hidden_handle_strict,6170,0.45,0.03,0.03507,,
semantic_rename_shifted,hidden_handle_exact_relocate,6210,0.45,0.03,0.03519,,
semantic_rename_shifted,hidden_handle_neighbor_relocate,6240,0.45,0.03,0.03528,,
semantic_rename_shifted,hidden_handle_fuzzy_model,6200,0.45,0.03,0.03516,,
semantic_rename_shifted,lsp_semantic,6160,0.42,0.0025,0.02904,winner,quality_winner
