scenario,policy,visible_tokens,hidden_bytes,future_rent_tokens,critical_recall,expected_retry_turns,dollars,winner,quality_winner
git_status_dirty_80,raw_output,1400,0,7000,0.974,0.06,0.00774,,
git_status_dirty_80,head_tail_truncation,252,5600,1260,0.737,0.276,0.007758,,
git_status_dirty_80,rtk_command_reducer,336,5600,1680,0.96,0.043,0.002544,,
git_status_dirty_80,typed_tool_output,264,5600,1320,0.98,0.02,0.001668,winner,quality_winner
git_status_dirty_80,quiet_status_handle,420,5600,2100,0.965,0.022,0.002418,,
git_diff_large,raw_output,22000,0,110000,0.892,0.122,0.101928,,
git_diff_large,head_tail_truncation,3960,88000,19800,0.49,0.554,0.031116,,
git_diff_large,rtk_command_reducer,1210,88000,6050,0.96,0.043,0.006477,,
git_diff_large,typed_tool_output,660,88000,3300,0.98,0.02,0.00345,winner,quality_winner
git_diff_large,quiet_status_handle,1050,88000,5250,0.965,0.022,0.005253,,
rg_many_hits,raw_output,18000,0,90000,0.908,0.11,0.08364,,
rg_many_hits,head_tail_truncation,3240,72000,16200,0.537,0.436,0.025044,,
rg_many_hits,rtk_command_reducer,990,72000,4950,0.96,0.043,0.005487,,
rg_many_hits,typed_tool_output,440,72000,2200,0.98,0.02,0.00246,winner,quality_winner
rg_many_hits,quiet_status_handle,700,72000,3500,0.965,0.022,0.003678,,
tsc_120_errors,raw_output,28000,0,140000,0.868,0.302,0.133248,,
tsc_120_errors,head_tail_truncation,5040,112000,25200,0.35,0.666,0.038664,,
tsc_120_errors,rtk_command_reducer,3360,112000,16800,0.96,0.043,0.016152,,
tsc_120_errors,typed_tool_output,2640,112000,13200,0.98,0.02,0.01236,winner,quality_winner
tsc_120_errors,quiet_status_handle,4200,112000,21000,0.965,0.022,0.019428,,
test_long_failure,raw_output,55000,0,275000,0.76,0.388,0.256812,,
test_long_failure,head_tail_truncation,9900,220000,49500,0.466,0.493,0.056382,,
test_long_failure,rtk_command_reducer,3025,220000,15125,0.96,0.043,0.014645,,
test_long_failure,typed_tool_output,396,220000,1980,0.98,0.02,0.002262,winner,quality_winner
test_long_failure,quiet_status_handle,630,220000,3150,0.965,0.022,0.003363,,
build_pass_noise,raw_output,16000,0,80000,0.916,0.103,0.074472,,
build_pass_noise,head_tail_truncation,2880,64000,14400,0.436,0.517,0.025368,,
build_pass_noise,rtk_command_reducer,880,64000,4400,0.96,0.043,0.004992,,
build_pass_noise,typed_tool_output,120,64000,600,0.98,0.02,0.00102,,
build_pass_noise,quiet_status_handle,30,64000,150,0.99,0.018,0.000567,winner,quality_winner
npm_install_noise,raw_output,44000,0,220000,0.804,0.353,0.206472,,
npm_install_noise,head_tail_truncation,7920,176000,39600,0.446,0.509,0.047856,,
npm_install_noise,rtk_command_reducer,2420,176000,12100,0.96,0.043,0.011922,,
npm_install_noise,typed_tool_output,9680,176000,48400,0.88,0.192,0.048168,,
npm_install_noise,quiet_status_handle,210,176000,1050,0.965,0.022,0.001473,winner,quality_winner
unknown_shell_dump,raw_output,35000,0,175000,0.84,0.324,0.165276,,
unknown_shell_dump,head_tail_truncation,6300,140000,31500,0.464,0.495,0.04023,,
unknown_shell_dump,rtk_command_reducer,1925,140000,9625,0.96,0.043,0.009695,,
unknown_shell_dump,typed_tool_output,7700,140000,38500,0.88,0.192,0.039258,,
unknown_shell_dump,quiet_status_handle,280,140000,1400,0.965,0.022,0.001788,winner,quality_winner
