dataset,shape,visible_tokens,future_rent_tokens,expected_retry_turns,effective_tokens,dollars,winner,quality_winner
search_8,pretty_object_json,229,1145,0.041,671,0.002014,,
search_8,minified_object_json,181,859,0.046,634,0.001905,winner,quality_winner
search_8,tuple_rows_legend,148,532,0.059,673,0.00202,,
search_8,columnar_arrays,151,453,0.072,772,0.002317,,
search_8,interned_tuple_rows,136,340,0.067,706,0.002118,,
search_8,terse_lines,130,357,0.108,1029,0.003089,,
search_80,pretty_object_json,2296,11480,0.072,4020,0.01206,,
search_80,minified_object_json,1816,8626,0.075,3278,0.009836,,
search_80,tuple_rows_legend,1406,5061,0.086,2599,0.0078,,
search_80,columnar_arrays,1373,4119,0.1,2584,0.007755,,
search_80,interned_tuple_rows,1086,2715,0.094,2109,0.006328,winner,quality_winner
search_80,terse_lines,1279,3517,0.135,2710,0.008132,,
diagnostics_20,pretty_object_json,917,4585,0.032,1631,0.004894,,
diagnostics_20,minified_object_json,707,3358,0.04,1362,0.004088,,
diagnostics_20,tuple_rows_legend,483,1738,0.062,1152,0.003458,,
diagnostics_20,columnar_arrays,488,1464,0.076,1242,0.003727,,
diagnostics_20,interned_tuple_rows,380,950,0.075,1075,0.003225,winner,quality_winner
diagnostics_20,terse_lines,425,1168,0.114,1453,0.004361,,
diagnostics_200,pretty_object_json,9242,46210,0.332,16519,0.049557,,
diagnostics_200,minified_object_json,7142,33924,0.335,13214,0.039643,,
diagnostics_200,tuple_rows_legend,4759,17132,0.346,9239,0.027721,,
diagnostics_200,columnar_arrays,4674,14022,0.36,8956,0.026869,,
diagnostics_200,interned_tuple_rows,3184,7960,0.354,6812,0.020436,winner,quality_winner
diagnostics_200,terse_lines,4251,11690,0.395,8580,0.02574,,
capsules_40,pretty_object_json,2052,10260,0.032,3334,0.010002,,
capsules_40,minified_object_json,1631,7747,0.035,2685,0.008057,,
capsules_40,tuple_rows_legend,1187,4273,0.046,1982,0.005947,,
capsules_40,columnar_arrays,1182,3545,0.06,2016,0.00605,,
capsules_40,interned_tuple_rows,1061,2652,0.054,1758,0.005275,winner,quality_winner
capsules_40,terse_lines,1039,2857,0.095,2084,0.006254,,
lsp_refs_120,pretty_object_json,4982,24910,0.162,8769,0.026307,,
lsp_refs_120,minified_object_json,3902,18534,0.165,7075,0.021226,,
lsp_refs_120,tuple_rows_legend,2746,9885,0.176,5142,0.015428,,
lsp_refs_120,columnar_arrays,2698,8094,0.19,5027,0.015082,,
lsp_refs_120,interned_tuple_rows,1749,4372,0.184,3658,0.010975,winner,quality_winner
lsp_refs_120,terse_lines,2498,6869,0.225,4984,0.014955,,
