scenario,policy,tool_visible_tokens,auto_read_tokens,future_rent_tokens,avoided_turns,noise_tokens,wrong_context_risk,dollars,winner,quality_winner
single_small_owned_source,search_only,138,0,690,0,0,0.02,0.037371,,
single_small_owned_source,auto_read_ranges_owned,498,360,2490,0.77,0,0.02,0.01299,,
single_small_owned_source,whole_small_3k,1938,1800,9690,1.0,0,0.02,0.011721,,
single_small_owned_source,whole_small_5k_confident,1938,1800,9690,1.0,0,0.02,0.011721,,
single_small_owned_source,aggressive_autoread,1938,1800,9690,1.0,0,0.05,0.016221,,
single_small_owned_source,scope_pack,1878,1566,7512,1.0,174,0.02,0.010888,winner,quality_winner
three_small_owned_files,search_only,174,0,870,0,0,0.03,0.072783,,
three_small_owned_files,auto_read_ranges_owned,1614,1440,8070,0.84,0,0.03,0.050778,,
three_small_owned_files,whole_small_3k,7374,7200,36870,2.0,0,0.03,0.037683,,
three_small_owned_files,whole_small_5k_confident,7374,7200,36870,2.0,0,0.03,0.037683,,
three_small_owned_files,aggressive_autoread,7374,7200,36870,2.0,0,0.06,0.042183,,
three_small_owned_files,scope_pack,2974,2380,11896,1.39,420,0.03,0.037411,winner,quality_winner
large_owned_file_target,search_only,138,0,690,0,0,0.04,0.047121,,
large_owned_file_target,auto_read_ranges_owned,1138,1000,5690,1.2,0,0.04,0.011121,winner,quality_winner
large_owned_file_target,whole_small_3k,1138,1000,5690,1.2,0,0.04,0.011121,winner,quality_winner
large_owned_file_target,whole_small_5k_confident,1138,1000,5690,1.2,0,0.04,0.011121,winner,quality_winner
large_owned_file_target,aggressive_autoread,18138,18000,90690,1.2,0,0.07,0.092121,,
large_owned_file_target,scope_pack,2578,1830,10312,1.2,610,0.04,0.016828,,
broad_refactor_known_scope,search_only,660,0,3300,0,0,0.05,0.14547,winner,quality_winner
broad_refactor_known_scope,auto_read_ranges_owned,17460,16800,87300,2.09,0,0.05,0.150465,,
broad_refactor_known_scope,whole_small_3k,84660,84000,423300,4.0,0,0.05,0.38847,,
broad_refactor_known_scope,whole_small_5k_confident,84660,84000,423300,4.0,0,0.05,0.38847,,
broad_refactor_known_scope,aggressive_autoread,119940,84000,599700,4.0,35280,0.08,0.55173,,
broad_refactor_known_scope,scope_pack,14060,10988,56240,1.37,2412,0.05,0.155373,,
vendor_match,search_only,336,0,1680,0.0,0,0.22,0.085137,,
vendor_match,auto_read_ranges_owned,336,0,1680,0.0,0,0.22,0.085137,,
vendor_match,whole_small_3k,336,0,1680,0.0,0,0.22,0.085137,,
vendor_match,whole_small_5k_confident,336,0,1680,0.0,0,0.22,0.085137,,
vendor_match,aggressive_autoread,118536,72000,592680,1.5,46200,0.28,0.575412,,
vendor_match,scope_pack,336,0,1344,0.0,0,0.22,0.085036,winner,quality_winner
generated_schema_match,search_only,264,0,1320,0.0,0,0.2,0.081813,,
generated_schema_match,auto_read_ranges_owned,264,0,1320,0.0,0,0.2,0.081813,,
generated_schema_match,whole_small_3k,264,0,1320,0.0,0,0.2,0.081813,,
generated_schema_match,whole_small_5k_confident,264,0,1320,0.0,0,0.2,0.081813,,
generated_schema_match,aggressive_autoread,207464,11200,1037320,1.5,196000,0.26,0.972588,,
generated_schema_match,scope_pack,264,0,1056,0.0,0,0.2,0.081734,winner,quality_winner
docs_config_small,search_only,192,0,960,0,0,0.04,0.057489,,
docs_config_small,auto_read_ranges_owned,1472,1280,7360,1.11,0,0.04,0.025809,,
docs_config_small,whole_small_3k,6592,6400,32960,1.5,0,0.04,0.035664,,
docs_config_small,whole_small_5k_confident,6592,6400,32960,1.5,0,0.04,0.035664,,
docs_config_small,aggressive_autoread,8832,6400,44160,1.5,2240,0.07,0.050244,,
docs_config_small,scope_pack,2612,1936,10448,1.5,484,0.04,0.01697,winner,quality_winner
failing_test_stack,search_only,300,0,1500,0,0,0.06,0.094725,,
failing_test_stack,auto_read_ranges_owned,6700,6400,33500,1.62,0,0.06,0.068985,winner,quality_winner
failing_test_stack,whole_small_3k,6700,6400,33500,1.62,0,0.06,0.068985,winner,quality_winner
failing_test_stack,whole_small_5k_confident,6700,6400,33500,1.62,0,0.06,0.068985,winner,quality_winner
failing_test_stack,aggressive_autoread,45740,32000,228700,2.5,13440,0.09,0.21933,,
failing_test_stack,scope_pack,5200,3430,20800,0.87,1470,0.06,0.085985,,
