session,policy,schema_tokens_total,cached_input_tokens,uncached_input_tokens,cache_miss_turns,expected_retry_turns,wrong_tool_risk,dollars,winner,quality_winner
single_file_edit_8,many_small_tools_all,144000,686000,98000,1,0.16,0.012,0.584016,,
single_file_edit_8,coherent_grouped_tools,80000,630000,90000,1,0.101,0.014,0.541364,,
single_file_edit_8,mode_specific_tools,36000,591500,84500,1,0.105,0.018,0.513616,winner,quality_winner
single_file_edit_8,stable_all_tools_gated,96000,644000,92000,1,0.078,0.01,0.550465,,
single_file_edit_8,generic_dispatcher,9600,568400,81200,1,0.8,0.054,0.518568,,
single_file_edit_8,dynamic_generated_tools,48000,602000,86000,1,0.224,0.024,0.525216,,
debug_20,many_small_tools_all,360000,1862000,98000,1,0.75,0.016,1.072663,,
debug_20,coherent_grouped_tools,200000,1710000,90000,1,0.378,0.019,0.990803,,
debug_20,mode_specific_tools,90000,1596500,93500,3,0.525,0.023,0.971108,winner,quality_winner
debug_20,stable_all_tools_gated,240000,1748000,92000,1,0.294,0.012,1.005328,,
debug_20,generic_dispatcher,24000,1542800,81200,1,3.4,0.07,0.997869,,
debug_20,dynamic_generated_tools,120000,1622000,98000,3,0.84,0.031,1.00201,,
refactor_40,many_small_tools_all,720000,3822000,98000,1,1.9,0.018,1.891915,,
refactor_40,coherent_grouped_tools,400000,3510000,90000,1,0.9,0.021,1.741155,,
refactor_40,mode_specific_tools,180000,3273000,107000,6,1.25,0.026,1.72965,,quality_winner
refactor_40,stable_all_tools_gated,480000,3588000,92000,1,0.7,0.014,1.764485,,
refactor_40,generic_dispatcher,48000,3166800,81200,1,4.0,0.079,1.696755,winner,
refactor_40,dynamic_generated_tools,240000,3324000,116000,6,2.0,0.035,1.7942,,
research_harness_80,many_small_tools_all,1440000,7742000,98000,1,4.0,0.019,3.52385,,
research_harness_80,coherent_grouped_tools,800000,7110000,90000,1,1.944,0.022,3.241499,,
research_harness_80,mode_specific_tools,360000,6635000,125000,10,2.7,0.028,3.221985,,quality_winner
research_harness_80,stable_all_tools_gated,960000,7268000,92000,1,1.512,0.015,3.28256,,
research_harness_80,generic_dispatcher,96000,6414800,81200,1,4.0,0.083,3.061605,winner,
research_harness_80,dynamic_generated_tools,480000,6740000,140000,10,4.0,0.037,3.3367,,
