scenario,policy,visible_tokens,hidden_bytes,future_rent_tokens,expected_retry_turns,missed_failure_risk,dollars,winner,quality_winner
format_pass_only,manual_raw_checks,1200,0,6000,0,0.01,0.00732,,
format_pass_only,compact_command_capsules,120,4800,600,0,0.02,0.003996,,
format_pass_only,quiet_validators,0,4800,0,0,0.015,0.002544,winner,quality_winner
format_pass_only,quiet_validators_auto_format,220,4800,1100,0,0.012,0.003006,,
format_pass_only,no_validation,0,0,0,0.6,0.18,0.04272,,
typescript_three_errors,manual_raw_checks,4500,0,22500,0.15,0.01,0.02577,,
typescript_three_errors,compact_command_capsules,265,18000,1325,0.08,0.02,0.006568,,
typescript_three_errors,quiet_validators,265,18000,1325,0.05,0.015,0.004936,,
typescript_three_errors,quiet_validators_auto_format,265,18000,1325,0.04,0.012,0.004168,winner,quality_winner
typescript_three_errors,no_validation,0,0,0,0.85,0.18,0.04872,,
test_long_failure,manual_raw_checks,18000,0,90000,0.38,0.01,0.09204,,
test_long_failure,compact_command_capsules,440,72000,2200,0.16,0.02,0.009276,,
test_long_failure,quiet_validators,440,72000,2200,0.1,0.015,0.006924,,
test_long_failure,quiet_validators_auto_format,440,72000,2200,0.08,0.012,0.005916,winner,quality_winner
test_long_failure,no_validation,0,0,0,1.1,0.18,0.05472,,
lint_autofix_then_pass,manual_raw_checks,7500,0,37500,0.15,0.01,0.03927,,
lint_autofix_then_pass,compact_command_capsules,455,30000,2275,0.08,0.02,0.007424,,
lint_autofix_then_pass,quiet_validators,335,30000,1675,0.05,0.015,0.005251,,
lint_autofix_then_pass,quiet_validators_auto_format,555,30000,2775,0,0.012,0.004514,winner,quality_winner
lint_autofix_then_pass,no_validation,0,0,0,0.85,0.18,0.04872,,
multi_loop_debug,manual_raw_checks,42000,0,210000,0.65,0.01,0.20652,,
multi_loop_debug,compact_command_capsules,2280,168000,11400,0.24,0.02,0.019476,,
multi_loop_debug,quiet_validators,2160,168000,10800,0.15,0.015,0.015864,,
multi_loop_debug,quiet_validators_auto_format,2160,168000,10800,0.12,0.012,0.014616,winner,quality_winner
multi_loop_debug,no_validation,0,0,0,1.35,0.18,0.06072,,
flaky_fail_then_pass,manual_raw_checks,12000,0,60000,0.15,0.01,0.05952,,
flaky_fail_then_pass,compact_command_capsules,540,48000,2700,0.08,0.02,0.007806,,
flaky_fail_then_pass,quiet_validators,300,48000,1500,0.13,0.015,0.007014,,
flaky_fail_then_pass,quiet_validators_auto_format,300,48000,1500,0.12,0.012,0.006246,winner,quality_winner
flaky_fail_then_pass,no_validation,0,0,0,0.85,0.22,0.05448,,
